#OTU ID,Expected,Observed_Tier1,EVEN_TIER,Pct,Pct_number,Code,Phylum,Species,Ratio
OTU_12,894.8194565,4522,E2,4.548792387,E_PCT2,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212
OTU_13,791.5710576,2912,E2,2.929253302,E_PCT2,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_14,791.5710576,0,E2,0,E_PCT2,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_15,2323.088974,938,E2,0.943557554,E_PCT2,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_16,2667.250303,547,E2,0.550240919,E_PCT2,CBS210.32,Zygomycota,Mortierella alpina,0.026830535
OTU_17,1738.014714,2065,E2,2.077234914,E_PCT2,CBS6001,Basidiomycota,Malassezia,0.017483123
OTU_18,2443.545439,0,E2,0,E_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_19,2443.545439,131,E2,0.131776162,E_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_2,404.3895621,21500,E2,21.6273853,E_PCT2,P3112,Basidiomycota,Pucciniomycotina,0.004067855
OTU_20,1088.410204,1426,E2,1.434448904,E_PCT2,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589
OTU_21,9980.678553,307,E2,0.308818944,E_PCT2,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_22,4474.097282,288,E2,0.289706371,E_PCT2,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059
OTU_23,2787.706768,23,E2,0.023136273,E_PCT2,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236
OTU_24,2340.29704,195,E2,0.196155355,E_PCT2,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631
OTU_25,0,1158,E2,1.164861031,E_PCT2,,,,
